SalesPersonID,GeoID,ProductID,Date,Sales,Quantity,Revenue,SalesPersonName,Brand,Location,Country,Region,ProductName,Category,Size,Price
SP01,G4,P04,2021-01-01 00:00:00,8414,276,495,Barr Faughny,Yummies,Hyderabad,New Zealand,APAC,Raspberry Choco,Bars,LARGE,4.09
SP02,G3,P14,2021-01-01 00:00:00,532,317,54,Dennison Crosswaite,Yummies,Hyderabad,Canada,Americas,White Choc,Other,SMALL,0.16
SP12,G2,P08,2021-01-01 00:00:00,5376,178,269,Karlen McCaffrey,Yummies,Wellington,USA,Americas,99% Dark & Pure,Bars,LARGE,2.47
SP01,G4,P15,2021-01-01 00:00:00,259,32,22,Barr Faughny,Yummies,Hyderabad,New Zealand,APAC,Baker\'s Choco Chips,Bars,SMALL,3.4
SP19,G2,P18,2021-01-01 00:00:00,5530,4,179,Beverie Moffet,Jucies,Seattle,USA,Americas,Manuka Honey Choco,Other,SMALL,4.75
SP17,G1,P13,2021-01-01 00:00:00,2184,63,122,Rafaelita Blaksland,,Wellington,India,APAC,85% Dark Bars,Bars,SMALL,0.64
SP20,G6,P04,2021-01-01 00:00:00,1057,295,71,Oby Sorrel,Jucies,Seattle,UK,Europe,Raspberry Choco,Bars,LARGE,4.09
SP14,G5,P16,2021-01-01 00:00:00,1036,370,37,Dotty Strutley,Delish,Wellington,Australia,APAC,Organic Choco Syrup,Other,SMALL,1.47
SP10,G5,P17,2021-01-01 00:00:00,4039,536,176,Brien Boise,Jucies,Wellington,Australia,APAC,Caramel Stuffed Bars,Bars,SMALL,0.54
SP06,G4,P01,2021-01-01 00:00:00,12894,115,478,Curtice Advani,Delish,Hyderabad,New Zealand,APAC,Milk Bars,Bars,LARGE,1.52
SP18,G2,P01,2021-01-01 00:00:00,4669,121,180,Madelene Upcott,Jucies,Wellington,USA,Americas,Milk Bars,Bars,LARGE,1.52
SP04,G4,P16,2021-01-01 00:00:00,6377,184,246,Wilone O\'Kielt,Delish,Hyderabad,New Zealand,APAC,Organic Choco Syrup,Other,SMALL,1.47
